Имя;Адрес;Адрес данных;Формат;Тип;X;Y;Разр.данных;Достоверность;Источник;Мин;Макс;Примечание
MAP_034_1168B_6;0x1168B;0x11692;с заголовком;2d;6;1;8;вероятная;mapscan;4;16;
MAP_035_11698_12;0x11698;0x116A5;с заголовком;2d;12;1;8;вероятная;mapscan;4;123;
MAP_036_116B2_6x6;0x116B2;0x116C0;с заголовком;3d;6;6;8;вероятная;mapscan;19;128;
MAP_037_116E5_4;0x116E5;0x116EA;с заголовком;2d;4;1;8;вероятная;mapscan;4;20;
MAP_038_116FE_12x6;0x116FE;0x11712;с заголовком;3d;12;6;8;вероятная;mapscan;15;128;
MAP_039_1175A_8;0x1175A;0x11763;с заголовком;2d;8;1;8;вероятная;mapscan;3;13;
MAP_040_117D4_4;0x117D4;0x117D9;с заголовком;2d;4;1;16;вероятная;mapscan;40597;54732;
MAP_041_11986_5x6;0x11986;0x11993;с заголовком;3d;5;6;8;вероятная;mapscan;0;144;
MAP_042_11A1A_6;0x11A1A;0x11A21;с заголовком;2d;6;1;8;вероятная;mapscan;77;154;
MAP_043_11A2E_6;0x11A2E;0x11A35;с заголовком;2d;6;1;8;вероятная;mapscan;40;150;
MAP_044_11A40_10x10;0x11A40;0x11A56;с заголовком;3d;10;10;8;вероятная;mapscan;0;128;
MAP_045_11AD4_16x12;0x11AD4;0x11AF2;с заголовком;3d;16;12;16;вероятная;mapscan;0;65483;
MAP_046_11F22_8;0x11F22;0x11F2B;с заголовком;2d;8;1;8;вероятная;mapscan;8;146;
GRID_047_12146_4x32;0x12146;0x12146;голая сетка;3d;4;32;8;вероятная;gridscan;127;127;константная таблица (все значения 127)
GRID_048_1236B_4x32;0x1236B;0x1236B;голая сетка;3d;4;32;8;вероятная;gridscan;127;127;константная таблица (все значения 127)
MAP_049_124D4_6;0x124D4;0x124DB;с заголовком;2d;6;1;8;вероятная;mapscan;33;107;
MAP_050_128BD_21;0x128BD;0x128E8;с заголовком;2d;21;1;16;вероятная;mapscan;0;56220;
MAP_051_14915_6;0x14915;0x14922;с заголовком;2d;6;1;16;вероятная;mapscan;7040;16000;
MAP_052_14998_10;0x14998;0x149A3;с заголовком;2d;10;1;16;вероятная;mapscan;0;40;
MAP_053_149B8_10;0x149B8;0x149C3;с заголовком;2d;10;1;16;вероятная;mapscan;0;16;
MAP_054_149D8_10;0x149D8;0x149E3;с заголовком;2d;10;1;16;вероятная;mapscan;0;32890;
MAP_055_14A11_10;0x14A11;0x14A26;с заголовком;2d;10;1;16;вероятная;mapscan;3932;30343;
MAP_056_14BC5_12;0x14BC5;0x14BDE;с заголовком;2d;12;1;16;вероятная;mapscan;0;58982;
MAP_057_14BFB_5;0x14BFB;0x14C06;с заголовком;2d;5;1;16;вероятная;mapscan;6379;10633;
MAP_058_14C2D_4;0x14C2D;0x14C36;с заголовком;2d;4;1;16;вероятная;mapscan;3907;5860;
MAP_059_14C45_4;0x14C45;0x14C4E;с заголовком;2d;4;1;16;вероятная;mapscan;3746;5619;
MAP_060_14C5D_4;0x14C5D;0x14C66;с заголовком;2d;4;1;16;вероятная;mapscan;3698;5568;
MAP_061_14C75_4;0x14C75;0x14C7E;с заголовком;2d;4;1;16;вероятная;mapscan;3571;5356;
MAP_062_14C8D_4;0x14C8D;0x14C96;с заголовком;2d;4;1;16;вероятная;mapscan;3433;5150;
MAP_063_14CA5_4;0x14CA5;0x14CAE;с заголовком;2d;4;1;16;вероятная;mapscan;3341;5013;
MAP_064_14CBD_4;0x14CBD;0x14CC6;с заголовком;2d;4;1;16;вероятная;mapscan;3312;4971;
MAP_065_14CD5_4;0x14CD5;0x14CDE;с заголовком;2d;4;1;16;вероятная;mapscan;3241;4862;
MAP_066_14CED_4;0x14CED;0x14CF6;с заголовком;2d;4;1;16;вероятная;mapscan;3210;4813;
MAP_067_14D05_4;0x14D05;0x14D0E;с заголовком;2d;4;1;16;вероятная;mapscan;3195;4793;
MAP_068_14D1D_4;0x14D1D;0x14D26;с заголовком;2d;4;1;16;вероятная;mapscan;3147;4719;
MAP_069_14D35_4;0x14D35;0x14D3E;с заголовком;2d;4;1;16;вероятная;mapscan;3146;4715;
MAP_070_14D4D_4;0x14D4D;0x14D56;с заголовком;2d;4;1;16;вероятная;mapscan;3151;4727;
MAP_071_14D65_4;0x14D65;0x14D6E;с заголовком;2d;4;1;16;вероятная;mapscan;3118;4612;
MAP_072_14DA4_16;0x14DA4;0x14DB5;с заголовком;2d;16;1;16;вероятная;mapscan;125;62935;
MAP_073_14E82_16;0x14E82;0x14E93;с заголовком;2d;16;1;16;вероятная;mapscan;3491;64250;
MAP_074_14F60_8;0x14F60;0x14F69;с заголовком;2d;8;1;16;вероятная;mapscan;36608;36610;
MAP_075_14F7F_6;0x14F7F;0x14F86;с заголовком;2d;6;1;8;вероятная;mapscan;50;100;
GRID_076_14F96_6x16;0x14F96;0x14F96;голая сетка;3d;6;16;8;вероятная;gridscan;0;8;
MAP_077_14FF7_5;0x14FF7;0x14FFD;с заголовком;2d;5;1;8;вероятная;mapscan;0;8;
MAP_078_15005_6;0x15005;0x1500C;с заголовком;2d;6;1;8;вероятная;mapscan;104;184;
MAP_079_15037_6;0x15037;0x1503E;с заголовком;2d;6;1;8;вероятная;mapscan;111;184;
MAP_080_15137_6;0x15137;0x15144;с заголовком;2d;6;1;16;вероятная;mapscan;5430;6296;
MAP_081_15261_6;0x15261;0x1526E;с заголовком;2d;6;1;16;вероятная;mapscan;1688;1711;
MAP_082_15281_6;0x15281;0x1528E;с заголовком;2d;6;1;16;вероятная;mapscan;1759;1779;
MAP_083_152A1_6x7;0x152A1;0x152BD;с заголовком;3d;6;7;16;вероятная;mapscan;14343;43271;
MAP_084_15311_7;0x15311;0x15320;с заголовком;2d;7;1;16;вероятная;mapscan;1983;2000;
MAP_085_15331_7;0x15331;0x15340;с заголовком;2d;7;1;16;вероятная;mapscan;2027;2044;
MAP_086_15362_8x24;0x15362;0x153A4;с заголовком;3d;8;24;16;вероятная;mapscan;2169;3800;
MAP_087_15528_12;0x15528;0x15541;с заголовком;2d;12;1;16;вероятная;mapscan;271;58640;
MAP_088_15559_16;0x15559;0x1557A;с заголовком;2d;16;1;16;вероятная;mapscan;4720;5123;
MAP_089_1559A_20x32;0x1559A;0x15604;с заголовком;3d;20;32;16;вероятная;mapscan;0;65535;
MAP_090_15BCB_7;0x15BCB;0x15BDA;с заголовком;2d;7;1;16;вероятная;mapscan;27520;51200;
MAP_091_15C2D_7;0x15C2D;0x15C3C;с заголовком;2d;7;1;16;вероятная;mapscan;27520;51200;
MAP_092_15F6B_4;0x15F6B;0x15F74;с заголовком;2d;4;1;8;вероятная;mapscan;24;184;
MAP_093_15F88_12;0x15F88;0x15FA1;с заголовком;2d;12;1;16;вероятная;mapscan;1024;46080;
GRID_094_15FBC_4x66;0x15FBC;0x15FBC;голая сетка;3d;4;66;8;вероятная;gridscan;0;16;
